transaction_id,sender_id,receiver_id,amount,timestamp
TX_00001,ACC_001,ACC_002,4500.0,2025-01-15T09:00:00Z
TX_00002,ACC_002,ACC_003,4200.0,2025-01-15T11:00:00Z
TX_00003,ACC_003,ACC_001,3900.0,2025-01-15T13:00:00Z
TX_00004,ACC_001,ACC_002,5100.0,2025-01-15T16:00:00Z
TX_00005,ACC_002,ACC_003,4800.0,2025-01-15T18:00:00Z
TX_00006,ACC_003,ACC_001,4600.0,2025-01-15T20:00:00Z
TX_00007,ACC_004,ACC_005,8200.0,2025-01-15T10:00:00Z
TX_00008,ACC_005,ACC_006,7800.0,2025-01-15T12:00:00Z
TX_00009,ACC_006,ACC_007,7500.0,2025-01-15T15:00:00Z
TX_00010,ACC_007,ACC_004,7100.0,2025-01-15T17:00:00Z
TX_00011,ACC_010,ACC_011,985.23,2025-01-16T04:00:00Z
TX_00012,ACC_010,ACC_012,972.45,2025-01-16T06:00:00Z
TX_00013,ACC_010,ACC_013,951.12,2025-01-16T08:00:00Z
TX_00014,ACC_010,ACC_014,963.78,2025-01-16T10:00:00Z
TX_00015,ACC_010,ACC_015,989.34,2025-01-16T12:00:00Z
TX_00016,ACC_010,ACC_016,942.67,2025-01-16T14:00:00Z
TX_00017,ACC_010,ACC_017,956.89,2025-01-16T16:00:00Z
TX_00018,ACC_010,ACC_018,971.23,2025-01-16T18:00:00Z
TX_00019,ACC_010,ACC_019,938.45,2025-01-16T20:00:00Z
TX_00020,ACC_010,ACC_020,964.56,2025-01-16T22:00:00Z
TX_00021,ACC_010,ACC_021,952.34,2025-01-17T00:00:00Z
TX_00022,ACC_010,ACC_022,987.67,2025-01-17T02:00:00Z
TX_00023,ACC_030,ACC_025,945.78,2025-01-16T16:00:00Z
TX_00024,ACC_031,ACC_025,912.34,2025-01-16T18:00:00Z
TX_00025,ACC_032,ACC_025,978.56,2025-01-16T20:00:00Z
TX_00026,ACC_033,ACC_025,923.45,2025-01-16T22:00:00Z
TX_00027,ACC_034,ACC_025,956.78,2025-01-17T00:00:00Z
TX_00028,ACC_035,ACC_025,934.12,2025-01-17T02:00:00Z
TX_00029,ACC_036,ACC_025,967.89,2025-01-17T04:00:00Z
TX_00030,ACC_037,ACC_025,943.21,2025-01-17T06:00:00Z
TX_00031,ACC_038,ACC_025,981.45,2025-01-17T08:00:00Z
TX_00032,ACC_039,ACC_025,928.67,2025-01-17T10:00:00Z
TX_00033,ACC_040,ACC_025,954.34,2025-01-17T12:00:00Z
TX_00034,ACC_041,ACC_025,992.12,2025-01-17T14:00:00Z
TX_00035,ACC_045,ACC_046,15000.0,2025-01-19T02:00:00Z
TX_00036,ACC_046,ACC_047,14800.0,2025-01-19T05:00:00Z
TX_00037,ACC_047,ACC_048,14500.0,2025-01-19T08:00:00Z
TX_00038,ACC_048,ACC_049,14200.0,2025-01-19T11:00:00Z
TX_00039,ACC_045,ACC_046,12000.0,2025-01-19T14:00:00Z
TX_00040,ACC_046,ACC_047,11800.0,2025-01-19T17:00:00Z
TX_00041,ACC_050,ACC_051,95000.0,2025-01-21T04:00:00Z
TX_00042,ACC_052,ACC_053,87000.0,2025-01-21T14:00:00Z
TX_00043,ACC_001,ACC_005,1234.56,2025-01-15T22:00:00Z
TX_00044,ACC_002,ACC_008,876.43,2025-01-16T00:00:00Z
TX_00045,ACC_003,ACC_009,1567.89,2025-01-16T02:00:00Z
TX_00046,ACC_004,ACC_010,2345.67,2025-01-16T04:00:00Z
TX_00047,ACC_005,ACC_011,987.65,2025-01-16T06:00:00Z
TX_00048,ACC_006,ACC_012,1234.12,2025-01-16T08:00:00Z
TX_00049,ACC_007,ACC_013,3456.78,2025-01-16T10:00:00Z
TX_00050,ACC_008,ACC_014,876.54,2025-01-16T12:00:00Z
TX_00051,ACC_009,ACC_015,2345.67,2025-01-16T14:00:00Z
TX_00052,ACC_010,ACC_016,1234.56,2025-01-16T16:00:00Z
TX_00053,ACC_011,ACC_017,987.65,2025-01-16T18:00:00Z
TX_00054,ACC_012,ACC_018,1567.89,2025-01-16T20:00:00Z
TX_00055,ACC_013,ACC_019,2345.67,2025-01-16T22:00:00Z
TX_00056,ACC_014,ACC_020,876.54,2025-01-17T00:00:00Z
TX_00057,ACC_015,ACC_021,1234.56,2025-01-17T02:00:00Z
TX_00058,ACC_016,ACC_022,987.65,2025-01-17T04:00:00Z
TX_00059,ACC_017,ACC_001,2345.67,2025-01-17T06:00:00Z
TX_00060,ACC_018,ACC_002,1567.89,2025-01-17T08:00:00Z
TX_00061,ACC_019,ACC_003,876.54,2025-01-17T10:00:00Z
